Novak Djokovic,Andy Murray,7,3:1,1.44,2.75,3.00,3.75,6.00,7.50,7.00,7.50

Novak Djokovic,Stan Wawrinka,6,3:2,1.22,4.33,2.20,3.50,6.50,12.00,10.00,10.00
Tomas Berdych,Andy Murray,6,1:3,2.20,1.66,5.50,5.50,6.50,3.75,4.33,6.00

Novak Djokovic,Milos Raonic,5,3:0,1.11,6.50,1.72,3.50,7.50,19.00,15.00,15.00
Stan Wawrinka,Kei Nishikori,5,3:0,2.10,1.72,5.50,5.50,6.50,4.00,4.33,6.00
Tomas Berdych,Rafael Nadal,5,3:0,2.50,1.53,6.50,6.00,7.00,3.50,4.00,6.00
Andy Murray,Nick Kyrgios,5,3:1,1.12,6.00,1.80,3.50,7.50,19.00,15.00,13.00

Novak Djokovic,Gilles Muller,4,3:0,1.02,17.00,1.33,4.00,11.00,41.00,29.00,26.00
Feliciano Lopez,Milos Raonic,4,2:3,5.50,1.14,15.00,12.00,13.00,1.90,3.50,7.00
Stan Wawrinka,Guillermo Garcia-Lopez,4,3:1,1.07,9.00,1.53,3.75,8.50,26.00,21.00,19.00
David Ferrer,Kei Nishikori,4,0:3,3.00,1.40,8.00,7.00,7.50,3.00,3.75,6.00
Tomas Berdych,Bernard Tomic,4,3:0,1.30,3.50,2.50,3.75,6.00,10.00,8.50,9.00
Kevin Anderson,Rafael Nadal,4,0:3,3.50,1.30,10.00,8.50,9.00,2.37,3.50,6.00
Andy Murray,Grigor Dimitrov,4,3:1,1.28,3.75,2.37,3.50,6.00,11.00,9.00,9.00
Nick Kyrgios,Andreas Seppi,4,3:2,1.72,2.10,4.33,4.50,6.00,5.00,5.00,6.00

Novak Djokovic,Fernando Verdasco,3,3:0,1.03,15.00,1.28,4.00,12.00,41.00,29.00,29.00
John Isner,Gilles Muller,3,0:3,1.53,2.37,3.50,4.00,6.00,6.50,6.00,7.00
Feliciano Lopez,Jerzy Janowicz,3,3:0,2.25,1.57,6.00,5.50,6.50,3.50,4.33,6.00
Benjamin Becker,Milos Raonic,3,0:3,9.00,1.07,23.00,19.00,19.00,1.57,3.75,8.50
Stan Wawrinka,Jarkko Nieminen,3,3:0,1.07,9.00,1.53,3.75,8.50,26.00,21.00,19.00
Vasek Pospisil,Guillermo Garcia-Lopez,3,0:3,2.25,1.57,6.00,5.50,6.50,3.50,4.00,6.00
David Ferrer,Gilles Simon,3,3:1,1.36,3.00,2.75,3.75,6.00,8.50,7.50,8.00
Steve Johnson,Kei Nishikori,3,1:3,8.00,1.08,23.00,19.00,19.00,1.57,3.75,8.50
Tomas Berdych,Viktor Troicki,3,3:0,1.16,5.00,1.90,3.50,7.00,15.00,12.00,12.00
Bernard Tomic,Sam Groth,3,3:0,1.25,3.75,2.25,3.50,6.50,11.00,9.50,9.50
Kevin Anderson,Richard Gasquet,3,3:0,2.50,1.50,7.00,6.50,7.00,3.20,4.00,6.00
Dudi Sela,Rafael Nadal,3,0:3,7.00,1.10,26.00,19.00,17.00,1.57,3.50,8.00
Andy Murray,Joao Sousa,3,3:0,1.02,19.00,1.22,4.33,13.00,51.00,41.00,41.00
Marcos Baghdatis,Grigor Dimitrov,3,2:3,4.33,1.20,13.00,11.00,11.00,2.10,3.50,6.50
Malek Jaziri,Nick Kyrgios,3,0:3,5.50,1.14,17.00,13.00,12.00,1.90,3.50,7.00
Andreas Seppi,Roger Federer,3,3:1,17.00,1.02,41.00,34.00,26.00,1.30,4.00,11.00
